,budget,id,popularity,production_companies,revenue,runtime,spoken_languages,status,title,vote_average,vote_count,genres_list,Countries,release_year,language
78,175000000,278927,94.199316,3,966550600,106.0,['English'],1,The Jungle Book,6.7,2892,"['Family', 'Adventure', 'Drama', 'Fantasy']",2,2016,en
79,200000000,10138,77.300194,1,623933331,124.0,"['English', 'P', 'Fran']",1,Iron Man 2,6.6,6849,"['Adventure', 'Action', 'Science Fiction']",1,2010,en
80,170000000,58595,77.178973,2,396600000,127.0,['English'],1,Snow White and the Huntsman,5.8,3118,"['Adventure', 'Fantasy', 'Drama']",1,2012,en
81,180000000,102651,110.620647,3,758539785,97.0,['English'],1,Maleficent,7.0,4496,"['Fantasy', 'Adventure', 'Action', 'Family', 'Romance']",1,2014,en
82,170000000,119450,243.791743,3,710644566,130.0,['English'],1,Dawn of the Planet of the Apes,7.3,4410,"['Science Fiction', 'Action', 'Drama', 'Thriller']",1,2014,en
83,27000000,79698,2.418535,7,0,109.0,['English'],1,The Lovers,4.8,34,"['Action', 'Adventure', 'Science Fiction', 'Romance']",3,2015,en
84,175000000,64686,41.796339,3,150962475,119.0,['English'],1,47 Ronin,5.9,1326,"['Drama', 'Action', 'Adventure', 'Fantasy']",1,2013,en
85,170000000,100402,72.225265,1,714766572,136.0,['English'],1,Captain America: The Winter Soldier,7.6,5764,"['Action', 'Adventure', 'Science Fiction']",1,2014,en
86,165000000,10192,44.041186,1,752600867,93.0,['English'],1,Shrek Forever After,6.0,1959,"['Comedy', 'Adventure', 'Fantasy', 'Animation', 'Family']",1,2010,en
87,190000000,158852,130.311355,2,209154322,130.0,['English'],1,Tomorrowland,6.2,2846,"['Adventure', 'Family', 'Mystery', 'Science Fiction']",1,2015,en
88,165000000,177572,203.73459,2,652105443,102.0,['English'],1,Big Hero 6,7.8,6135,"['Adventure', 'Family', 'Animation', 'Action', 'Comedy']",1,2014,en
89,165000000,82690,62.341073,1,471222889,108.0,['English'],1,Wreck-It Ralph,7.1,4570,"['Family', 'Animation', 'Comedy', 'Adventure']",1,2012,en
90,165000000,5255,47.323228,3,305875730,100.0,['English'],1,The Polar Express,6.4,1474,"['Adventure', 'Animation', 'Family', 'Fantasy']",1,2004,en
91,165000000,47933,48.775723,4,389681935,120.0,['English'],1,Independence Day: Resurgence,4.9,2491,"['Action', 'Adventure', 'Science Fiction']",1,2016,en
92,165000000,10191,67.263269,3,494878759,98.0,['English'],1,How to Train Your Dragon,7.5,4227,"['Fantasy', 'Adventure', 'Animation', 'Family']",1,2010,en
93,200000000,296,69.405188,2,435000000,109.0,['English'],1,Terminator 3: Rise of the Machines,5.9,2143,"['Action', 'Thriller', 'Science Fiction']",3,2003,en
94,170000000,118340,481.098624,3,773328629,121.0,['English'],1,Guardians of the Galaxy,7.9,9742,"['Action', 'Science Fiction', 'Adventure']",2,2014,en
95,165000000,157336,724.247784,4,675120017,169.0,['English'],1,Interstellar,8.1,10867,"['Adventure', 'Drama', 'Science Fiction']",3,2014,en
96,160000000,27205,167.58371,2,825532764,148.0,"['English', 'Fran']",1,Inception,8.1,13752,"['Action', 'Thriller', 'Science Fiction', 'Mystery', 'Adventure']",2,2010,en
97,15000000,315011,9.476999,2,77000000,120.0,"['Italiano', 'Deutsch', 'English']",1,シン・ゴジラ,6.5,143,"['Action', 'Adventure', 'Drama', 'Horror', 'Science Fiction']",1,2016,ja
98,250000000,49051,108.849621,2,1021103568,169.0,['English'],1,The Hobbit: An Unexpected Journey,7.0,8297,"['Adventure', 'Fantasy', 'Action']",2,2012,en
99,38000000,9799,6.909942,3,207283925,106.0,['English'],1,The Fast and the Furious,6.6,3428,"['Action', 'Crime', 'Thriller']",2,2001,en
100,150000000,4922,60.269279,1,333932083,166.0,['English'],1,The Curious Case of Benjamin Button,7.3,3292,"['Fantasy', 'Drama', 'Thriller', 'Mystery', 'Romance']",1,2008,en
101,160000000,49538,3.195174,8,353624124,132.0,"['Deutsch', 'English', 'Espa', 'Fran', 'P']",1,X-Men: First Class,7.1,5181,"['Action', 'Science Fiction', 'Adventure']",1,2011,en
102,160000000,131634,127.284427,3,653428261,137.0,['English'],1,The Hunger Games: Mockingjay - Part 2,6.6,3984,"['Action', 'Adventure', 'Science Fiction']",2,2015,en
103,150000000,27022,35.580815,5,215283742,109.0,['English'],1,The Sorcerer's Apprentice,5.8,1470,"['Fantasy', 'Adventure', 'Action', 'Comedy', 'Drama']",1,2010,en
104,160000000,503,21.133748,5,181674817,99.0,"['English', 'Espa']",1,Poseidon,5.5,583,"['Adventure', 'Action', 'Drama', 'Thriller']",1,2006,en
105,170000000,241259,56.268916,4,299370084,113.0,['English'],1,Alice Through the Looking Glass,6.5,1725,['Fantasy'],2,2016,en
106,160000000,810,42.986467,2,798958165,93.0,['Fran'],1,Shrek the Third,6.0,2278,"['Fantasy', 'Adventure', 'Animation', 'Comedy', 'Family']",1,2007,en
107,160000000,68735,63.148529,4,433677183,123.0,['English'],1,Warcraft,6.3,2268,"['Action', 'Adventure', 'Fantasy']",4,2016,en
108,155000000,87101,202.042635,3,440603537,126.0,['English'],1,Terminator Genisys,5.8,3631,"['Science Fiction', 'Action', 'Thriller', 'Adventure']",1,2015,en
109,155000000,10140,49.661984,2,415686217,113.0,['English'],1,The Chronicles of Narnia: The Voyage of the Dawn Treader,6.2,1514,"['Adventure', 'Family', 'Fantasy']",1,2010,en
110,140000000,676,34.20669,2,449220945,183.0,"['Fran', 'English']",1,Pearl Harbor,6.6,1791,"['History', 'Romance', 'War']",1,2001,en
111,150000000,1858,25.468493,9,709709780,144.0,"['Espa', 'English']",1,Transformers,6.6,4040,"['Adventure', 'Science Fiction', 'Action']",1,2007,en
112,155000000,1966,39.019229,3,167298192,175.0,['English'],1,Alexander,5.6,927,"['War', 'History', 'Action', 'Adventure', 'Drama', 'Romance']",6,2004,en
113,150000000,675,78.144395,1,938212738,138.0,['English'],1,Harry Potter and the Order of the Phoenix,7.4,5494,"['Adventure', 'Fantasy', 'Family', 'Mystery']",2,2007,en
114,150000000,674,101.250416,2,895921036,157.0,"['English', 'Fran']",1,Harry Potter and the Goblet of Fire,7.5,5608,"['Adventure', 'Fantasy', 'Family']",2,2005,en
115,150000000,8960,56.758411,7,624029371,92.0,['English'],1,Hancock,6.2,2961,"['Fantasy', 'Action']",1,2008,en
116,150000000,6479,70.867401,5,585349010,101.0,['English'],1,I Am Legend,6.9,4853,"['Drama', 'Horror', 'Action', 'Thriller', 'Science Fiction']",1,2007,en
117,150000000,118,53.905592,5,474968763,115.0,['English'],1,Charlie and the Chocolate Factory,6.7,3624,"['Adventure', 'Comedy', 'Family', 'Fantasy']",3,2005,en
118,150000000,2062,65.677399,2,623722818,111.0,['English'],1,Ratatouille,7.5,4369,"['Animation', 'Comedy', 'Family', 'Fantasy']",1,2007,en
119,150000000,272,115.040024,5,374218673,140.0,['English'],1,Batman Begins,7.5,7359,"['Action', 'Crime', 'Drama']",2,2005,en
120,150000000,10527,44.141021,1,603900354,89.0,"['English', 'Italiano']",1,Madagascar: Escape 2 Africa,6.2,1810,"['Family', 'Animation']",1,2008,en
121,150000000,18360,81.781591,3,413106170,105.0,['English'],1,Night at the Museum: Battle of the Smithsonian,5.9,1971,"['Adventure', 'Fantasy', 'Action', 'Comedy', 'Family']",2,2009,en
122,150000000,2080,5.954334,7,373062864,107.0,['English'],1,X-Men Origins: Wolverine,6.2,4021,"['Adventure', 'Action', 'Thriller', 'Science Fiction']",1,2009,en
123,150000000,605,73.313918,3,424988211,129.0,"['English', 'Fran']",1,The Matrix Revolutions,6.4,3096,"['Adventure', 'Action', 'Thriller', 'Science Fiction']",2,2003,en
124,150000000,109445,165.125366,2,1274219009,102.0,['English'],1,Frozen,7.3,5295,"['Animation', 'Adventure', 'Family']",1,2013,en
125,150000000,604,70.78591,4,738599701,138.0,['English'],1,The Matrix Reloaded,6.7,3443,"['Adventure', 'Action', 'Thriller', 'Science Fiction']",2,2003,en
126,170000000,76338,99.499595,1,644571402,112.0,['English'],1,Thor: The Dark World,6.8,4755,"['Action', 'Adventure', 'Fantasy']",1,2013,en
127,150000000,76341,434.278564,2,378858340,120.0,['English'],1,Mad Max: Fury Road,7.2,9427,"['Action', 'Adventure', 'Science Fiction', 'Thriller']",2,2015,en
128,150000000,13448,67.447636,4,356613439,138.0,"['English', 'Italiano', 'Latin', 'Fran', 'Deutsch']",1,Angels & Demons,6.5,2129,"['Thriller', 'Mystery']",2,2009,en
129,150000000,10195,86.493424,1,449326618,115.0,['English'],1,Thor,6.6,6525,"['Adventure', 'Fantasy', 'Action']",1,2011,en
130,150000000,13053,41.845878,1,309979994,98.0,['English'],1,Bolt,6.3,1750,"['Animation', 'Family', 'Adventure', 'Comedy']",1,2008,en
131,150000000,19585,26.710398,3,292817841,88.0,['English'],1,G-Force,5.1,510,"['Fantasy', 'Action', 'Adventure', 'Family', 'Comedy']",1,2009,en
132,150000000,57165,44.927635,3,301000000,99.0,['English'],1,Wrath of the Titans,5.5,1431,['Adventure'],2,2012,en
133,150000000,62213,50.306728,5,245527149,113.0,['English'],1,Dark Shadows,5.7,2320,"['Comedy', 'Fantasy']",2,2012,en
134,150000000,177677,114.522237,7,682330139,131.0,"['Deutsch', 'English', 'svenska']",1,Mission: Impossible - Rogue Nation,7.1,3224,"['Action', 'Adventure', 'Thriller']",2,2015,en
135,150000000,7978,21.214571,3,0,102.0,['English'],1,The Wolfman,5.5,549,"['Drama', 'Horror', 'Thriller']",1,2010,en
136,150000000,5559,29.332905,1,287594577,91.0,['English'],1,Bee Movie,5.7,1171,"['Family', 'Animation', 'Adventure', 'Comedy']",1,2007,en
137,150000000,49444,51.247321,1,665692281,91.0,['English'],1,Kung Fu Panda 2,6.7,1880,"['Animation', 'Family']",1,2011,en
138,150000000,10196,33.769336,3,318502923,103.0,['English'],1,The Last Airbender,4.7,1151,"['Action', 'Adventure', 'Family', 'Fantasy']",1,2010,en
139,150000000,956,63.079003,3,397850012,126.0,"['Deutsch', 'English', 'Italiano']",1,Mission: Impossible III,6.5,2028,"['Adventure', 'Action', 'Thriller']",3,2006,en
140,150000000,117251,39.004588,2,205366737,131.0,['English'],1,White House Down,6.4,1891,"['Action', 'Drama', 'Thriller']",1,2013,en
141,150000000,50321,12.362599,1,38992758,88.0,['English'],1,Mars Needs Moms,5.5,199,"['Adventure', 'Animation', 'Family']",1,2011,en
142,149000000,11619,22.550135,2,64459316,85.0,['English'],1,Flushed Away,6.0,874,"['Adventure', 'Animation', 'Comedy', 'Family']",2,2006,en
143,150000000,266647,48.03528,1,128388320,111.0,['English'],1,Pan,5.9,954,"['Adventure', 'Family', 'Fantasy']",1,2015,en
144,145000000,82703,38.73494,3,272912430,92.0,['English'],1,Mr. Peabody & Sherman,6.7,843,"['Animation', 'Adventure', 'Family']",1,2014,en
145,175000000,652,66.803149,5,497409852,163.0,['English'],1,Troy,6.9,2759,"['Adventure', 'Drama', 'War']",3,2004,en
146,145000000,80321,44.989192,1,746921274,93.0,"['English', 'Espa']",1,Madagascar 3: Europe's Most Wanted,6.4,1808,"['Animation', 'Family']",1,2012,en
147,140000000,36669,54.159392,1,431971116,133.0,"['English', 'Deutsch', 'Espa', 'Italiano']",1,Die Another Day,5.8,1092,"['Adventure', 'Action', 'Thriller']",2,2002,en
148,144000000,43074,66.21806,6,229147509,116.0,['English'],1,Ghostbusters,5.3,2142,"['Action', 'Fantasy', 'Comedy']",1,2016,en
149,140000000,95,58.485967,3,553799566,151.0,"['English', 'P']",1,Armageddon,6.4,2482,"['Action', 'Thriller', 'Science Fiction', 'Adventure']",1,1998,en
150,140000000,608,91.332849,3,441818803,88.0,['English'],1,Men in Black II,6.0,3114,"['Action', 'Adventure', 'Comedy', 'Science Fiction']",1,2002,en
151,70000000,2310,35.601665,3,195735876,115.0,['English'],1,Beowulf,5.5,841,"['Adventure', 'Action', 'Animation']",1,2007,en
152,145000000,140300,56.747978,3,521170825,95.0,['English'],1,Kung Fu Panda 3,6.7,1603,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family']",2,2016,en
153,145000000,56292,77.77477,6,694713380,133.0,"['English', 'P', 'Fran', 'svenska']",1,Mission: Impossible - Ghost Protocol,6.8,3972,"['Action', 'Thriller', 'Adventure']",3,2011,en
154,145000000,81188,61.788035,1,306941670,97.0,"['Fran', 'English']",1,Rise of the Guardians,7.1,1922,"['Fantasy', 'Animation', 'Family']",1,2012,en
155,100000000,7552,25.159168,2,202026112,90.0,['English'],1,Fun with Dick and Jane,5.9,627,['Comedy'],1,2005,en
156,140000000,616,52.341226,1,456758981,154.0,['English'],1,The Last Samurai,7.3,1895,"['Drama', 'Action', 'War', 'History']",3,2003,en
157,140000000,147441,101.599427,4,268031828,150.0,['English'],1,Exodus: Gods and Kings,5.6,1921,"['Adventure', 'Drama', 'Action']",3,2014,en
158,150000000,13475,73.616808,3,385680446,127.0,['English'],1,Star Trek,7.4,4518,"['Science Fiction', 'Action', 'Adventure']",2,2009,en
159,139000000,557,82.502566,2,821708551,121.0,['English'],1,Spider-Man,6.8,5265,"['Fantasy', 'Action']",1,2002,en
160,145000000,82702,100.21391,2,609123048,102.0,['English'],1,How to Train Your Dragon 2,7.6,3106,"['Fantasy', 'Action', 'Adventure', 'Animation', 'Comedy', 'Family']",1,2014,en
161,140000000,205584,56.257249,5,150680864,127.0,['English'],1,Gods of Egypt,5.3,1277,['Fantasy'],2,2016,en
162,135000000,10048,17.88953,5,76932943,121.0,"['English', 'Deutsch', 'P', 'Espa']",1,Stealth,4.9,331,['Action'],1,2005,en
163,130000000,13183,64.798873,5,185258983,163.0,['English'],1,Watchmen,7.0,2811,"['Action', 'Mystery', 'Science Fiction']",1,2009,en
164,140000000,944,24.855701,1,285444603,127.0,['English'],1,Lethal Weapon 4,6.3,767,"['Action', 'Adventure', 'Comedy', 'Crime', 'Thriller']",1,1998,en
165,137000000,1927,34.981698,4,245360480,138.0,"['English', 'Espa']",1,Hulk,5.3,1533,"['Drama', 'Action', 'Science Fiction']",1,2003,en
166,130000000,72559,59.325589,5,371876278,110.0,['English'],1,G.I. Joe: Retaliation,5.4,3025,"['Adventure', 'Action', 'Science Fiction', 'Thriller']",1,2013,en
167,130000000,7364,21.605568,9,119269486,124.0,"['English', 'Fran']",1,Sahara,5.7,434,"['Action', 'Adventure', 'Comedy', 'Drama', 'Mystery']",4,2005,en
168,137000000,2114,26.074908,3,85131830,106.0,['English'],1,Final Fantasy: The Spirits Within,5.9,433,"['Adventure', 'Action', 'Animation', 'Fantasy', 'Science Fiction', 'Thriller']",2,2001,en
169,140000000,1771,74.506246,1,370569774,124.0,"['Fran', 'Norsk', 'English']",1,Captain America: The First Avenger,6.6,7047,"['Action', 'Adventure', 'Science Fiction']",1,2011,en
170,135000000,36643,39.604363,1,361832400,128.0,"['English', 'P']",1,The World Is Not Enough,6.0,862,"['Adventure', 'Action', 'Thriller']",2,1999,en
171,150000000,8619,36.973031,4,212011111,138.0,"['Fran', 'Portugu', 'English']",1,Master and Commander: The Far Side of the World,6.9,790,['Adventure'],1,2003,en
172,120000000,50620,99.687084,3,829000000,115.0,['English'],1,The Twilight Saga: Breaking Dawn - Part 2,6.1,2553,"['Adventure', 'Fantasy', 'Drama', 'Romance']",1,2012,en
